ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
FVK0737,"https://www.google.com/maps/place/-7.20542735, -40.13427795",ARP01M2,"-7.20542735, -40.13427795"
FVK0834,"https://www.google.com/maps/place/-7.21638594, -40.00421797",ARP01M2,"-7.21638594, -40.00421797"
FVK1141,"https://www.google.com/maps/place/-7.11061143, -40.04044011",ARP01M2,"-7.11061143, -40.04044011"
FVK1148,"https://www.google.com/maps/place/-7.08308097, -40.08360149",ARP01M2,"-7.08308097, -40.08360149"
FVK1150,"https://www.google.com/maps/place/-7.14771757, -40.0257638",ARP01M2,"-7.14771757, -40.0257638"
FVK1164,"https://www.google.com/maps/place/-7.22663065, -39.99722149",ARP01M2,"-7.22663065, -39.99722149"
FVK1165,"https://www.google.com/maps/place/-7.11849166, -40.11695946",ARP01M2,"-7.11849166, -40.11695946"
FVK1167,"https://www.google.com/maps/place/-7.18649568, -40.02379478",ARP01M2,"-7.18649568, -40.02379478"
FVK1169,"https://www.google.com/maps/place/-7.14045475, -39.9628503",ARP01M2,"-7.14045475, -39.9628503"
FVK1177,"https://www.google.com/maps/place/-6.97674089, -39.85249135",ARP01M2,"-6.97674089, -39.85249135"
FVK1179,"https://www.google.com/maps/place/-7.03794851, -39.89595965",ARP01M2,"-7.03794851, -39.89595965"
FVK1183,"https://www.google.com/maps/place/-7.05022094, -39.91537611",ARP01M2,"-7.05022094, -39.91537611"
FVK1188,"https://www.google.com/maps/place/-7.06166451, -39.89576979",ARP01M2,"-7.06166451, -39.89576979"
FVK1312,"https://www.google.com/maps/place/-7.11635972, -40.10081939",ARP01M2,"-7.11635972, -40.10081939"
FVK1318,"https://www.google.com/maps/place/-7.05811242, -39.88017224",ARP01M2,"-7.05811242, -39.88017224"
FVK1426,"https://www.google.com/maps/place/-7.13697347, -39.95369726",ARP01M2,"-7.13697347, -39.95369726"
FVK1429,"https://www.google.com/maps/place/-7.05831361, -39.87900467",ARP01M2,"-7.05831361, -39.87900467"
FVK1483,"https://www.google.com/maps/place/-7.14662842, -40.02340701",ARP01M2,"-7.14662842, -40.02340701"
FVK1485,"https://www.google.com/maps/place/-7.05754787, -40.00728503",ARP01M2,"-7.05754787, -40.00728503"
FVK1487,"https://www.google.com/maps/place/-7.08922644, -40.00521688",ARP01M2,"-7.08922644, -40.00521688"
FVI0499,"https://www.google.com/maps/place/-7.09880523, -40.04185319",ARP01M2,"-7.09880523, -40.04185319"
FVI8834,"https://www.google.com/maps/place/-7.09818315, -40.04096448",ARP01M2,"-7.09818315, -40.04096448"
FVI8842,"https://www.google.com/maps/place/-7.10067189, -40.04432015",ARP01M2,"-7.10067189, -40.04432015"
FVI8958,"https://www.google.com/maps/place/-7.10607293, -40.05165732",ARP01M2,"-7.10607293, -40.05165732"
FVJ0004,"https://www.google.com/maps/place/-7.16463526, -40.02374595",ARP01M2,"-7.16463526, -40.02374595"
FVJ0094,"https://www.google.com/maps/place/-7.08898639, -40.00329688",ARP01M2,"-7.08898639, -40.00329688"
TSVJ0243,"https://www.google.com/maps/place/-7.12603368, -40.09081899",ARP01M2,"-7.12603368, -40.09081899"
FVJ0839,"https://www.google.com/maps/place/-7.14334781, -40.1046235",ARP01M2,"-7.14334781, -40.1046235"
FPB1639,"https://www.google.com/maps/place/-7.16705823, -40.02417697",ARP01M2,"-7.16705823, -40.02417697"
