CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TOS1304,"https://www.google.com/maps/place/-7.25153304,-39.11399153",MLG01Y5,1,10,"-7.25153304,-39.11399153"
TOS1305,"https://www.google.com/maps/place/-7.24904554,-39.11355609",MLG01Y5,3,15,"-7.24904554,-39.11355609"
TOS1307,"https://www.google.com/maps/place/-7.24187335,-39.10877141",MLG01Y5,0,10,"-7.24187335,-39.10877141"
TOS1308,"https://www.google.com/maps/place/-7.23792127,-39.10464888",MLG01Y5,0,10,"-7.23792127,-39.10464888"
TOS1312,"https://www.google.com/maps/place/-7.23067526,-39.10587009",MLG01Y5,1,10,"-7.23067526,-39.10587009"
TOS1313,"https://www.google.com/maps/place/-7.24593477,-39.10945177",MLG01Y5,1,10,"-7.24593477,-39.10945177"
TOS1318,"https://www.google.com/maps/place/-7.29626825,-39.03977744",MLG01Y5,1,45,"-7.29626825,-39.03977744"
TOS1321,"https://www.google.com/maps/place/-7.34085419,-38.9508796",MLG01Y5,14,10,"-7.34085419,-38.9508796"
TOS1324,"https://www.google.com/maps/place/-7.20915828,-38.99985182",MLG01Y5,0,5,"-7.20915828,-38.99985182"
TOS1328,"https://www.google.com/maps/place/-7.28182841,-39.06327605",MLG01Y5,0,10,"-7.28182841,-39.06327605"
TOS1329,"https://www.google.com/maps/place/-7.29730729,-38.94876445",MLG01Y5,2,15,"-7.29730729,-38.94876445"
TOS1330,"https://www.google.com/maps/place/-7.29274815,-38.94840259",MLG01Y5,8,45,"-7.29274815,-38.94840259"
TOS1331,"https://www.google.com/maps/place/-7.20525949,-38.99690804",MLG01Y5,3,10,"-7.20525949,-38.99690804"
TOS1333,"https://www.google.com/maps/place/-7.28988209,-39.03730364",MLG01Y5,69,45,"-7.28988209,-39.03730364"
TOS1334,"https://www.google.com/maps/place/-7.2064807,-38.99989711",MLG01Y5,0,10,"-7.2064807,-38.99989711"
TOS1335,"https://www.google.com/maps/place/-7.24788081,-39.13841266",MLG01Y5,194,45,"-7.24788081,-39.13841266"
TOS1337,"https://www.google.com/maps/place/-7.24485838,-39.14203516",MLG01Y5,11,15,"-7.24485838,-39.14203516"
TOS1338,"https://www.google.com/maps/place/-7.25736325,-38.97927915",MLG01Y5,4,45,"-7.25736325,-38.97927915"
TOS1340,"https://www.google.com/maps/place/-7.30096136,-38.94492271",MLG01Y5,5,15,"-7.30096136,-38.94492271"
TOS1343,"https://www.google.com/maps/place/-7.32156214,-39.00279623",MLG01Y5,2,15,"-7.32156214,-39.00279623"
TOS1344,"https://www.google.com/maps/place/-7.32504478,-39.0040828",MLG01Y5,0,15,"-7.32504478,-39.0040828"
TOS1347,"https://www.google.com/maps/place/-7.29316555,-39.03945102",MLG01Y5,1,30,"-7.29316555,-39.03945102"
TOS1348,"https://www.google.com/maps/place/-7.33444981,-38.95154172",MLG01Y5,6,30,"-7.33444981,-38.95154172"
TOS1351,"https://www.google.com/maps/place/-7.21401537,-38.97793153",MLG01Y5,0,15,"-7.21401537,-38.97793153"
TOS1353,"https://www.google.com/maps/place/-7.20179354,-38.96466256",MLG01Y5,0,10,"-7.20179354,-38.96466256"
TOS1356,"https://www.google.com/maps/place/-7.20087189,-38.98233422",MLG01Y5,1,5,"-7.20087189,-38.98233422"
TOS1357,"https://www.google.com/maps/place/-7.20328724,-38.98486124",MLG01Y5,0,5,"-7.20328724,-38.98486124"
TOS1358,"https://www.google.com/maps/place/-7.19304662,-38.97116657",MLG01Y5,0,5,"-7.19304662,-38.97116657"
TOS1359,"https://www.google.com/maps/place/-7.16086161,-38.97588727",MLG01Y5,0,5,"-7.16086161,-38.97588727"
TOS1360,"https://www.google.com/maps/place/-7.15450245,-38.97809746",MLG01Y5,3,15,"-7.15450245,-38.97809746"
TOS1363,"https://www.google.com/maps/place/-7.13045762,-38.96515715",MLG01Y5,0,5,"-7.13045762,-38.96515715"
TOS1364,"https://www.google.com/maps/place/-7.15471844,-38.96137861",MLG01Y5,0,5,"-7.15471844,-38.96137861"
TOS1365,"https://www.google.com/maps/place/-7.33519241,-38.96006747",MLG01Y5,5,15,"-7.33519241,-38.96006747"
TOS1366,"https://www.google.com/maps/place/-7.32898818,-38.97723724",MLG01Y5,5,10,"-7.32898818,-38.97723724"
TOS0300,"https://www.google.com/maps/place/-7.22374023,-38.99812169",MLG01Y5,1,3,"-7.22374023,-38.99812169"
TOS0301,"https://www.google.com/maps/place/-7.22696961,-38.99753289",MLG01Y5,2,5,"-7.22696961,-38.99753289"
TOS0303,"https://www.google.com/maps/place/-7.2108589,-38.99816704",MLG01Y5,2,10,"-7.2108589,-38.99816704"
TOS0305,"https://www.google.com/maps/place/-7.20881451,-38.99590259",MLG01Y5,0,15,"-7.20881451,-38.99590259"
